product_name,custom_code,material_type,material_finish,eb_brand,panel_type,thickness_band_mm,edge_band_code,price_per_running_meter
WPCNOSURF,Dummy Surface,Dummy Surface,NA,Rehau,Carcass,upto_18.5,22_0p8,6.0
INL001A,HW/BK-WT/0.8MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,6.0
INL001A,HW/BK-WT/0.8MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL001B,HW/BK-WT/1MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,6.0
INL001B,HW/BK-WT/1MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL001C,HW/BK-WT/1.25MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,6.0
INL001C,HW/BK-WT/1.25MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL002A,HW/BK-SM/0.8MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,12.0
INL002A,HW/BK-SM/0.8MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL002B,HW/BK-SM/1MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,12.0
INL002B,HW/BK-SM/1MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL002C,HW/BK-SM/1.25MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,12.0
INL002C,HW/BK-SM/1.25MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL003A,HW/BK-CM/0.8MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,7.25
INL003A,HW/BK-CM/0.8MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL003B,HW/BK-CM/1MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,7.25
INL003B,HW/BK-CM/1MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
INL003C,HW/BK-CM/1.25MM,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,7.25
INL003C,HW/BK-CM/1.25MM,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
AWG004,5331 SUD,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWG004,5331 SUD,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWG004,5331 SUD,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWG004,5331 SUD,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWG004,5331 SUD,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWG004,5331 SUD,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWB003,14664 SUD,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWB003,14664 SUD,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWB003,14664 SUD,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWB003,14664 SUD,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWB003,14664 SUD,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWB003,14664 SUD,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWB004,14650 SUD,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWB004,14650 SUD,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWB004,14650 SUD,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWB004,14650 SUD,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWB004,14650 SUD,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWB004,14650 SUD,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BEW002,5338 SUD,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
BEW002,5338 SUD,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
BEW002,5338 SUD,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
BEW002,5338 SUD,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
BEW002,5338 SUD,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
BEW002,5338 SUD,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BEW003,5348 SUD,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
BEW003,5348 SUD,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
BEW003,5348 SUD,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
BEW003,5348 SUD,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
BEW003,5348 SUD,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
BEW003,5348 SUD,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWG003,1269 CRY-Z,Laminate,Matt,ROYAL TOUCHE,Carcass,upto_18.5,23_1p3,28.48
AWG003,1269 CRY-Z,Laminate,Matt,ROYAL TOUCHE,Shutter,upto_18.5,23_1p3,28.48
AWG005,LG-1664,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWG005,LG-1664,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWG005,LG-1664,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWG005,LG-1664,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWG005,LG-1664,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWG005,LG-1664,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWB001,9202 ASW,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWB001,9202 ASW,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
AWB001,9202 ASW,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
AWB001,9202 ASW,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
AWB001,9202 ASW,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
AWB001,9202 ASW,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
AWB002,GR-351,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
AWB002,GR-351,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
