Product serial number,Product name (editable),Custom code (editable),Description (editable),Material Brand Name,Surface Type,Inventory Type,"Material Type
MTY

#mid(0,3)","Material Finish Category
MFC

#mid(5,3)",Grain,"Material Thk 
(In mm)
MTH

#mid(13,6)","Material Square 
Foot Cost 
(Per Sq.Ft)
MSC
#mid(20,6)","Material Glue Cost 
(Per Sq.Ft)
MGC
#mid(27,6)",Material Cost,"Material Size 
(Length in Feet)","Material Size 
(Width in Feet)",EB Article Code,EB Internal Code,EB Brand Name,EB Description,"Edgeband Glue Cost
(Per Running Meter)
EGC","Edge Band
22_0p8","Edge Band
22_1p0","Edge Band
22_2p0","Edge Band
23_1p3","Edge Band
25_1p3","Edge Band
30_0p8","Edge Band
30_2p0","Edge Band
45_0p8","Edge Band
45_2p0",Purchase Cost Validation,Purchase Cost Validate by,Validation Completaion Date,Remark ,,,"Edgeband Glue Cost
(Per Running Meter)
EGC
#mid(0,6)","Edge Band
22_0p8

#mid(8,6)","Edge Band
22_1p0

#mid(15,6)","Edge Band
22_2p0

#mid(22,6)","Edge Band
23_1p0

#mid(29,6)","Edge Band
23_1p3

#mid(36,6)","Edge Band
25_1p3

#mid(43,6)","Edge Band
30_0p8

#mid(50,6)","Edge Band
30_2p0

#mid(57,6)","Edge Band
45_0p8

#mid(64,6)","Edge Band
45_2p0

#mid(71,6)"
3FO3GKE3P386,BWP09,HW/BWP/09MM,BWP09,Homworks,,Inventory,Core Material,NA,NoGrain,9.2,42,0, 1344,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,1216,,,,,,,,,,,,,
3FO3GKECSECD,BWP16,HW/BWP/16MM,BWP16,Homworks,,Inventory,Core Material,NA,NoGrain,16.2,75,0,2400,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,2088,,,,,,,,,,,,,
3FO3GKE9OAUQ,BWP23,HW/BWP/23MM,BWP23,Homworks,,Inventory,Core Material,NA,NoGrain,23.2,120,0,3840,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,2656,,,,,,,,,,,,,
3FO3GKB2B6TG,BWP32,HW/BWP/32MM,BWP32,Homworks,,Inventory,Core Material,NA,NoGrain,2.7,150,4.2,4800,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,,,,,,,,,,,,,,
3FO3GKAOX1LW,HDHMR5p5,HW/HDHMR/5p5MM,HDHMR5p5,Homworks,,Inventory,Core Material,NA,NoGrain,5.5,29.4,0,940.8,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,576.96,,,,,,,,,,,,,
3FO3GKE6S4WH,HDHMR08,HW/HDHMR/8MM,HDHMR08,Homworks,,Inventory,Core Material,NA,NoGrain,8,33.1,0,1059.2,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,832,,,,,,,,,,,,,
3FO3GDVQ8IC3,HDHMR12,HW/HDHMR/12MM,HDHMR12,Homworks,,Inventory,Core Material,NA,NoGrain,12,50.2,0,1606.4,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,1280,,,,,,,,,,,,,
3FO3GKDWD5US,HDHMR16,HW/HDHMR/16MM,HDHMR16,Homworks,,Inventory,Core Material,NA,NoGrain,16,69.2,0,2214.4,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,1472,,,,,,,,,,,,,
3FO3GKE6R9T8,HDHMR25,HW/HDHMR/25MM,HDHMR25,Homworks,,Inventory,Core Material,NA,NoGrain,25,104.6,0,3347.2,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,2656,,,,,,,,,,,,,
3FO3GKDWC7FI,HDHMR32,HW/HDHMR/32MM,HDHMR32,Homworks,,Inventory,Core Material,NA,NoGrain,2,138.4,4.2,4428.8,8,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Done,Sindhu,21-07-2026,2944,,,,,,,,,,,,,
